Date,GHI
2020-03-09,4.916208333
2020-03-10,5.029041667
2020-03-11,4.954483333
2020-03-12,6.153458333
2020-03-13,6.144225
2020-03-14,5.178616667
2020-03-15,6.693333333
2020-03-16,6.1471
2020-03-17,5.987283333
2020-03-18,5.698666667
2020-03-19,5.195333333
2020-03-20,6.153958333
2020-03-21,6.044691667
2020-03-22,6.300491667
2020-03-23,5.735908333
2020-03-24,5.065016667
2020-03-25,5.75035
2020-03-26,5.283633333
2020-03-27,5.239491667
2020-03-28,4.19995
2020-03-29,5.704341667
2020-03-30,5.285141667
2020-03-31,4.233066667
2020-04-01,5.621783333
2020-04-02,5.678833333
2020-04-03,6.185891667
2020-04-04,5.683275
2020-04-05,6.892741667
2020-04-06,5.083058333
2020-04-07,4.884625
2020-04-08,3.9222
2020-04-09,5.728558333
2020-04-10,5.737091667
2020-04-11,4.889091667
2020-04-12,5.596908333
2020-04-13,1.867816667
2020-04-14,4.534533333
2020-04-15,4.452058333
2020-04-16,5.429983333
2020-04-17,4.472725
2020-04-18,5.449091667
2020-04-19,5.1757
2020-04-20,5.584291667
2020-04-21,6.457483333
2020-04-22,4.577166667
2020-04-23,5.740241667
2020-04-24,5.062733333
2020-04-25,5.805525
2020-04-26,5.5169
2020-04-27,6.154783333
2020-04-28,5.878933333
2020-04-29,6.08545
2020-04-30,5.207166667
2020-05-01,6.03805
2020-05-02,4.663708333
2020-05-03,5.464791667
2020-05-04,4.592633333
2020-05-05,4.253583333
2020-05-06,4.880816667
2020-05-07,4.841466667
2020-05-08,4.510683333
2020-05-09,4.7767
2020-05-10,5.5035
2020-05-11,3.838958333
2020-05-12,4.668425
2020-05-13,5.32895
2020-05-14,5.247483333
2020-05-15,5.217991667
2020-05-16,4.272483333
2020-05-17,4.650916667
2020-05-18,6.124416667
2020-05-19,6.448066667
2020-05-20,3.399866667
2020-05-21,6.2427
2020-05-22,6.165941667
2020-05-23,1.4891
2020-05-24,5.269075
2020-05-25,4.344958333
2020-05-26,6.278041667
2020-05-27,5.529083333
2020-05-28,4.094625
2020-05-29,3.191908333
2020-05-30,4.843125
2020-05-31,5.349741667
2020-06-01,5.753025
2020-06-02,5.967441667
2020-06-03,6.481433333
2020-06-04,3.482566667
2020-06-05,6.091116667
2020-06-06,4.356791667
2020-06-07,5.720458333
2020-06-08,6.532991667
2020-06-09,3.159608333
2020-06-10,2.94105
2020-06-11,4.143441667
2020-06-12,5.833833333
2020-06-13,4.894733333
2020-06-14,2.969216667
2020-06-15,4.313208333
2020-06-16,4.991241667
2020-06-17,5.370116667
2020-06-18,6.145133333
2020-06-19,3.97175
2020-06-20,5.586458333
2020-06-21,3.6268
2020-06-22,5.206775
2020-06-23,5.4909
2020-06-24,4.751008333
2020-06-25,3.24855
2020-06-26,5.469508333
2020-06-27,5.332758333
2020-06-28,3.041866667
2020-06-29,2.168291667
2020-06-30,2.612158333
2020-07-01,4.446141667
2020-07-02,5.703241667
2020-07-03,4.314441667
2020-07-04,5.0388
2020-07-05,3.555841667
2020-07-06,3.430008333
2020-07-07,5.052775
2020-07-08,4.669158333
2020-07-09,4.819108333
2020-07-10,5.808341667
2020-07-11,5.056216667
2020-07-12,5.706333333
2020-07-13,5.080458333
2020-07-14,6.802625
2020-07-15,6.373325
2020-07-16,3.385833333
2020-07-17,4.903241667
2020-07-18,3.602683333
2020-07-19,5.185658333
2020-07-20,4.802258333
2020-07-21,3.878741667
2020-07-22,5.033941667
2020-07-23,5.238233333
2020-07-24,4.326291667
2020-07-25,5.342891667
2020-07-26,4.191575
2020-07-27,6.463783333
2020-07-28,4.672008333
2020-07-29,5.826408333
2020-07-30,5.928366667
2020-07-31,2.833108333
2020-08-01,4.023816667
2020-08-02,3.128775
2020-08-03,3.270375
2020-08-04,3.911008333
2020-08-05,4.348208333
2020-08-06,4.216683333
2020-08-07,4.42375
