Date,GHI,PR
2019-08-07,2.326983333,77.85296729
2019-08-07,2.326983333,77.85296729
2019-08-07,2.326983333,77.85296729
2019-08-07,2.326983333,77.85296729
2019-08-08,3.530166667,72.92912895
2019-08-08,3.530166667,72.92912895
2019-08-08,3.530166667,72.92912895
2019-08-08,3.530166667,72.92912895
2019-08-09,3.053108333,76.33996613
2019-08-09,3.053108333,76.33996613
2019-08-09,3.053108333,76.33996613
2019-08-09,3.053108333,76.33996613
2019-08-10,3.532608333,76.52966533
2019-08-10,3.532608333,76.52966533
2019-08-10,3.532608333,76.52966533
2019-08-10,3.532608333,76.52966533
2019-08-11,4.233616667,74.37988669
2019-08-11,4.233616667,74.37988669
2019-08-11,4.233616667,74.37988669
2019-08-11,4.233616667,74.37988669
2019-08-12,4.935833333,60.66216854
2019-08-12,4.935833333,60.66216854
2019-08-12,4.935833333,60.66216854
2019-08-12,4.935833333,60.66216854
2019-08-13,6.107708333,81.58867858
2019-08-13,6.107708333,81.58867858
2019-08-13,6.107708333,81.58867858
2019-08-13,6.107708333,81.58867858
2019-08-14,5.945841667,65.42674584
2019-08-14,5.945841667,65.42674584
2019-08-14,5.945841667,65.42674584
2019-08-14,5.945841667,65.42674584
2019-08-15,5.121266667,67.91924654
2019-08-15,5.121266667,67.91924654
2019-08-15,5.121266667,67.91924654
2019-08-15,5.121266667,67.91924654
2019-08-16,5.110308333,65.22271942
2019-08-16,5.110308333,65.22271942
2019-08-16,5.110308333,65.22271942
2019-08-16,5.110308333,65.22271942
2019-08-17,4.57005,81.27025628
2019-08-17,4.57005,81.27025628
2019-08-17,4.57005,81.27025628
2019-08-17,4.57005,81.27025628
2019-08-18,5.784266667,62.1202638
2019-08-18,5.784266667,62.1202638
2019-08-18,5.784266667,62.1202638
2019-08-18,5.784266667,62.1202638
2019-08-19,6.238091667,73.38961958
2019-08-19,6.238091667,73.38961958
2019-08-19,6.238091667,73.38961958
2019-08-19,6.238091667,73.38961958
2019-08-20,4.469258333,79.89516234
2019-08-20,4.469258333,79.89516234
2019-08-20,4.469258333,79.89516234
2019-08-20,4.469258333,79.89516234
2019-08-21,4.319041667,79.63740059
2019-08-21,4.319041667,79.63740059
2019-08-21,4.319041667,79.63740059
2019-08-21,4.319041667,79.63740059
2019-08-22,4.894641667,63.4100524
2019-08-22,4.894641667,63.4100524
2019-08-22,4.894641667,63.4100524
2019-08-22,4.894641667,63.4100524
2019-08-23,6.059475,61.57263172
2019-08-23,6.059475,61.57263172
2019-08-23,6.059475,61.57263172
2019-08-23,6.059475,61.57263172
2019-08-24,5.11375,67.21930321
2019-08-24,5.11375,67.21930321
2019-08-24,5.11375,67.21930321
2019-08-24,5.11375,67.21930321
2019-08-25,5.133858333,63.19590068
2019-08-25,5.133858333,63.19590068
2019-08-25,5.133858333,63.19590068
2019-08-25,5.133858333,63.19590068
2019-08-26,4.25785,66.3089646
2019-08-26,4.25785,66.3089646
2019-08-26,4.25785,66.3089646
2019-08-26,4.25785,66.3089646
2019-08-27,6.652741667,60.72209595
2019-08-27,6.652741667,60.72209595
2019-08-27,6.652741667,60.72209595
2019-08-27,6.652741667,60.72209595
2019-08-28,5.018358333,63.08059253
2019-08-28,5.018358333,63.08059253
2019-08-28,5.018358333,63.08059253
2019-08-28,5.018358333,63.08059253
2019-08-29,2.875591667,71.60160175
2019-08-29,2.875591667,71.60160175
2019-08-29,2.875591667,71.60160175
2019-08-29,2.875591667,71.60160175
2019-08-30,3.195216667,63.56445765
2019-08-30,3.195216667,63.56445765
2019-08-30,3.195216667,63.56445765
2019-08-30,3.195216667,63.56445765
2019-08-31,6.1398,77.71123097
2019-08-31,6.1398,77.71123097
2019-08-31,6.1398,77.71123097
2019-08-31,6.1398,77.71123097
2019-09-01,4.582075,62.14144711
2019-09-01,4.582075,62.14144711
2019-09-01,4.582075,62.14144711
2019-09-01,4.582075,62.14144711
2019-09-02,2.78235,68.21678227
2019-09-02,2.78235,68.21678227
2019-09-02,2.78235,68.21678227
2019-09-02,2.78235,68.21678227
2019-09-03,2.914716667,66.44978731
2019-09-03,2.914716667,66.44978731
2019-09-03,2.914716667,66.44978731
2019-09-03,2.914716667,66.44978731
2019-09-04,2.924125,73.52279742
2019-09-04,2.924125,73.52279742
2019-09-04,2.924125,73.52279742
2019-09-04,2.924125,73.52279742
2019-09-05,4.055225,65.59199065
2019-09-05,4.055225,65.59199065
2019-09-05,4.055225,65.59199065
2019-09-05,4.055225,65.59199065
2019-09-06,5.574541667,66.40701216
2019-09-06,5.574541667,66.40701216
2019-09-06,5.574541667,66.40701216
2019-09-06,5.574541667,66.40701216
2019-09-07,2.775916667,71.92436714
2019-09-07,2.775916667,71.92436714
2019-09-07,2.775916667,71.92436714
2019-09-07,2.775916667,71.92436714
2019-09-08,4.570908333,84.64357472
2019-09-08,4.570908333,84.64357472
2019-09-08,4.570908333,84.64357472
2019-09-08,4.570908333,84.64357472
2019-09-09,4.864208333,75.98908476
2019-09-09,4.864208333,75.98908476
2019-09-09,4.864208333,75.98908476
2019-09-09,4.864208333,75.98908476
2019-09-10,5.792425,72.42388865
2019-09-10,5.792425,72.42388865
2019-09-10,5.792425,72.42388865
2019-09-10,5.792425,72.42388865
2019-09-11,5.639958333,84.22859566
2019-09-11,5.639958333,84.22859566
2019-09-11,5.639958333,84.22859566
2019-09-11,5.639958333,84.22859566
2019-09-12,6.476283333,81.54786406
2019-09-12,6.476283333,81.54786406
2019-09-12,6.476283333,81.54786406
2019-09-12,6.476283333,81.54786406
2019-09-13,2.53245,80.21786497
2019-09-13,2.53245,80.21786497
2019-09-13,2.53245,80.21786497
2019-09-13,2.53245,80.21786497
2019-09-14,2.974508333,63.96117672
2019-09-14,2.974508333,63.96117672
2019-09-14,2.974508333,63.96117672
2019-09-14,2.974508333,63.96117672
2019-09-15,2.552158333,69.29612483
2019-09-15,2.552158333,69.29612483
2019-09-15,2.552158333,69.29612483
2019-09-15,2.552158333,69.29612483
2019-09-16,1.98435,63.65162517
2019-09-16,1.98435,63.65162517
2019-09-16,1.98435,63.65162517
2019-09-16,1.98435,63.65162517
2019-09-17,2.967916667,61.67436516
2019-09-17,2.967916667,61.67436516
2019-09-17,2.967916667,61.67436516
2019-09-17,2.967916667,61.67436516
2019-09-18,1.494691667,71.47531581
2019-09-18,1.494691667,71.47531581
2019-09-18,1.494691667,71.47531581
2019-09-18,1.494691667,71.47531581
2019-09-19,4.91405,72.71470361
2019-09-19,4.91405,72.71470361
2019-09-19,4.91405,72.71470361
2019-09-19,4.91405,72.71470361
2019-09-20,3.92075,76.01707319
2019-09-20,3.92075,76.01707319
2019-09-20,3.92075,76.01707319
2019-09-20,3.92075,76.01707319
2019-09-21,4.271341667,82.28355411
